PricingID,Karat,MarketRatePerGram,EffectiveDate
930,24,55.24,2025-02-04
931,18,49.28,2025-02-05
932,22,60.23,2025-02-05
933,24,65.71,2025-02-05
934,18,40.01,2025-02-06
935,22,48.9,2025-02-06
936,24,53.35,2025-02-06
937,18,37.96,2025-02-07
938,22,46.39,2025-02-07
939,24,50.61,2025-02-07
940,18,42.58,2025-02-08
941,22,52.04,2025-02-08
942,24,56.77,2025-02-08
943,18,40.2,2025-02-09
944,22,49.13,2025-02-09
945,24,53.59,2025-02-09
946,18,42.81,2025-02-10
947,22,52.33,2025-02-10
948,24,57.08,2025-02-10
949,18,37.97,2025-02-11
950,22,46.41,2025-02-11
951,24,50.63,2025-02-11
952,18,48.66,2025-02-12
953,22,59.48,2025-02-12
954,24,64.89,2025-02-12
955,18,50.77,2025-02-13
956,22,62.05,2025-02-13
957,24,67.69,2025-02-13
958,18,51.69,2025-02-14
959,22,63.18,2025-02-14
960,24,68.92,2025-02-14
961,18,48.2,2025-02-15
962,22,58.91,2025-02-15
963,24,64.27,2025-02-15
964,18,52.48,2025-02-16
965,22,64.14,2025-02-16
966,24,69.97,2025-02-16
967,18,39.09,2025-02-17
968,22,47.78,2025-02-17
969,24,52.12,2025-02-17
970,18,44.96,2025-02-18
971,22,54.95,2025-02-18
972,24,59.95,2025-02-18
973,18,40.89,2025-02-19
974,22,49.98,2025-02-19
975,24,54.52,2025-02-19
976,18,45.75,2025-02-20
977,22,55.91,2025-02-20
978,24,60.99,2025-02-20
979,18,46.27,2025-02-21
980,22,56.55,2025-02-21
981,24,61.69,2025-02-21
982,18,47.65,2025-02-22
983,22,58.24,2025-02-22
984,24,63.53,2025-02-22
985,18,44.21,2025-02-23
986,22,54.03,2025-02-23
987,24,58.95,2025-02-23
988,18,48.86,2025-02-24
989,22,59.72,2025-02-24
990,24,65.15,2025-02-24
991,18,37.78,2025-02-25
992,22,46.18,2025-02-25
993,24,50.38,2025-02-25
994,18,48.17,2025-02-26
995,22,58.87,2025-02-26
996,24,64.22,2025-02-26
997,18,43.27,2025-02-27
998,22,52.88,2025-02-27
999,24,57.69,2025-02-27
1000,18,42.15,2025-02-28
1001,22,51.51,2025-02-28
1002,24,56.2,2025-02-28
1003,18,43.04,2025-03-01
1004,22,52.6,2025-03-01
1005,24,57.38,2025-03-01
1006,18,45.91,2025-03-02
1007,22,56.11,2025-03-02
1008,24,61.21,2025-03-02
1009,18,38.55,2025-03-03
1010,22,47.12,2025-03-03
1011,24,51.4,2025-03-03
1012,18,43.4,2025-03-04
1013,22,53.04,2025-03-04
1014,24,57.86,2025-03-04
1015,18,42.95,2025-03-05
1016,22,52.49,2025-03-05
1017,24,57.27,2025-03-05
1018,18,48.29,2025-03-06
1019,22,59.03,2025-03-06
1020,24,64.39,2025-03-06
1021,18,47.37,2025-03-07
1022,22,57.9,2025-03-07
1023,24,63.17,2025-03-07
1024,18,39.97,2025-03-08
1025,22,48.85,2025-03-08
1026,24,53.29,2025-03-08
1027,18,49.44,2025-03-09
1028,22,60.42,2025-03-09
1029,24,65.92,2025-03-09
1030,18,48.26,2025-03-10
1031,22,58.99,2025-03-10
1032,24,64.35,2025-03-10
1033,18,46.71,2025-03-11
1034,22,57.09,2025-03-11
1035,24,62.28,2025-03-11
1036,18,42.4,2025-03-12
1037,22,51.82,2025-03-12
1038,24,56.53,2025-03-12
1039,18,46.09,2025-03-13
1040,22,56.33,2025-03-13
1041,24,61.45,2025-03-13
1042,18,50.7,2025-03-14
1043,22,61.96,2025-03-14
1044,24,67.6,2025-03-14
1045,18,49.89,2025-03-15
1046,22,60.97,2025-03-15
1047,24,66.52,2025-03-15
1048,18,43.0,2025-03-16
1049,22,52.55,2025-03-16
1050,24,57.33,2025-03-16
1051,18,47.18,2025-03-17
1052,22,57.66,2025-03-17
1053,24,62.9,2025-03-17
1054,18,44.98,2025-03-18
1055,22,54.97,2025-03-18
1056,24,59.97,2025-03-18
1057,18,41.31,2025-03-19
1058,22,50.5,2025-03-19
1059,24,55.09,2025-03-19
1060,18,48.96,2025-03-20
1061,22,59.84,2025-03-20
1062,24,65.28,2025-03-20
1063,18,41.88,2025-03-21
1064,22,51.19,2025-03-21
1065,24,55.84,2025-03-21
1066,18,50.38,2025-03-22
1067,22,61.58,2025-03-22
1068,24,67.18,2025-03-22
1069,18,41.55,2025-03-23
1070,22,50.78,2025-03-23
1071,24,55.4,2025-03-23
1072,18,51.08,2025-03-24
1073,22,62.43,2025-03-24
1074,24,68.11,2025-03-24
1075,18,50.64,2025-03-25
1076,22,61.9,2025-03-25
1077,24,67.53,2025-03-25
1078,18,43.87,2025-03-26
1079,22,53.62,2025-03-26
1080,24,58.49,2025-03-26
1081,18,43.89,2025-03-27
1082,22,53.65,2025-03-27
1083,24,58.52,2025-03-27
1084,18,42.39,2025-03-28
1085,22,51.8,2025-03-28
1086,24,56.51,2025-03-28
1087,18,41.18,2025-03-29
1088,22,50.33,2025-03-29
1089,24,54.91,2025-03-29
1090,18,48.04,2025-03-30
1091,22,58.72,2025-03-30
1092,24,64.06,2025-03-30
1093,18,44.88,2025-03-31
1094,22,54.85,2025-03-31
1095,24,59.84,2025-03-31
1096,18,51.33,2025-04-01
1097,22,62.73,2025-04-01
1098,24,68.43,2025-04-01
